,S.N.,Symbol,Buyer,Seller,Quantity,Rate,Amount
77,1,KKHC,11,57,450,307.0,138150.0
78,1,AHPC,39,48,21,531.0,11151.0
79,1,AHPC,59,48,36,532.0,19152.0
80,1,AHPC,57,48,44,533.0,23452.0
81,1,CZBIL,13,16,50,403.0,20150.0
82,1,NICL,50,21,10,1170.0,11700.0
83,1,NICL,48,21,160,1170.0,187200.0
84,1,NICL,20,21,30,1170.0,35100.0
85,1,HDHPC,38,59,150,305.0,45750.0
86,1,JBBL,38,37,90,498.0,44820.0
87,1,RHPL,55,11,170,516.0,87720.0
88,1,RHPL,42,11,100,516.0,51600.0
89,1,RHPL,44,11,30,516.0,15480.0
90,1,RHPL,33,11,100,517.0,51700.0
91,1,RHPL,41,11,100,517.0,51700.0
92,1,BFC,25,34,500,439.0,219500.0
93,1,WOMI,50,41,100,1613.0,161300.0
94,1,PLIC,50,45,38,1060.0,40280.0
95,1,NHPC,26,6,300,304.0,91200.0
96,1,LBBL,19,32,20,658.0,13160.0
97,1,ADBL,38,42,130,496.0,64480.0
98,1,UMRH,38,16,10,501.0,5010.0
99,1,KSBBL,47,42,500,600.0,300000.0
100,1,KSBBL,29,42,408,600.0,244800.0
101,1,MNBBL,4,51,50,691.0,34550.0
102,1,MNBBL,4,10,200,691.0,138200.0
103,1,SJCL,54,17,10,472.0,4720.0
104,1,NRN,40,13,10,710.0,7100.0
105,1,JBBL,21,37,10,498.0,4980.0
106,1,NIFRA,43,39,60,533.0,31980.0
107,1,PRIN,26,50,200,1095.0,219000.0
108,1,NRN,40,52,30,710.0,21300.0
109,1,SLCF,28,45,100,10.1,1010.0
110,1,CHCL,45,49,63,723.0,45549.0
111,1,API,28,47,59,451.0,26609.0
112,1,API,28,45,78,451.0,35178.0
113,1,API,28,26,163,451.0,73513.0
114,1,SJCL,22,37,40,471.0,18840.0
115,1,NMB,14,32,50,461.0,23050.0
116,1,RLI,47,46,10,714.0,7140.0
117,1,NIFRA,43,56,20,533.0,10660.0
118,1,NIFRA,45,56,30,533.0,15990.0
119,1,CHDC,17,28,10,733.0,7330.0
120,1,HIDCL,35,29,500,425.0,212500.0
121,1,HIDCL,35,28,100,425.0,42500.0
122,1,HIDCL,35,35,177,425.0,75225.0
123,1,LBBL,58,32,200,658.0,131600.0
124,1,NRIC,35,58,20,1896.0,37920.0
125,1,NLIC,57,36,100,2090.0,209000.0
126,1,PFL,34,13,29,690.0,20010.0
127,1,NCCB,52,49,400,383.0,153200.0
128,1,AIL,52,45,20,885.0,17700.0
129,1,AIL,25,45,10,885.0,8850.0
130,1,PFL,34,42,30,690.0,20700.0
